field_id,lai_in_situ,lai_est_s2,lai_est_ps,error_s2,error_ps
189,2.69,3.5555615,3.4748353958129883,0.8655615425109864,0.7848353958129883
195,0.2320606053,1.6161588,1.1736929416656494,1.3840982377404663,0.9416323363656494
197,2.3,3.5000074,2.7262935638427734,1.2000073909759523,0.4262935638427736
198,1.8,2.9975336,2.8820266723632812,1.1975335597991943,1.0820266723632812
204,0.2257583276,1.8476889,1.24679434299469,1.621930585745337,1.02103601539469
206,4.31,4.2706466,3.5084228515625,0.0393534278869625,0.8015771484374996
207,3.0,4.1598334,4.277894020080566,1.1598334312438965,1.2778940200805664
213,0.2831097772,1.752183,1.0606154203414917,1.469073183310254,0.7775056431414917
215,3.05,4.2841024,3.173982620239258,1.2341024398803713,0.12398262023925799
216,4.51,4.04005,4.285987377166748,0.4699499702453611,0.22401262283325174
222,0.1919811103,2.0116916,1.0461878776550293,1.8197104599819824,0.8542067673550293
224,4.15,4.8383594,3.52178692817688,0.6883593559265133,0.6282130718231205
225,3.24,4.8679767,4.4294843673706055,1.627976665496826,1.1894843673706053
231,0.466908246,1.7114981,1.2544279098510742,1.2445898952887573,0.7875196638510742
233,4.42,4.4688525,3.1929078102111816,0.04885251998901374,1.2270921897888183
234,2.68,4.0545883,3.8214755058288574,1.3745883178710936,1.1414755058288573
240,0.2399121027,1.8826165,1.2577935457229614,1.6427044172279786,1.0178814430229615
242,4.79,3.2139134,3.2841830253601074,1.5760865592956543,1.5058169746398926
243,3.44,4.669917,4.303012847900391,1.229917106628418,0.8630128479003907
247,0.6828092612,0.8556082,1.1150044202804565,0.17279896366877445,0.4321951590804566
248,0.9229258009,0.8904277,1.100114345550537,0.032498092274206525,0.17718854465053713
253,0.7800811794,1.4908409,1.5864490270614624,0.7107597324652344,0.8063678476614624
258,1.791321836,1.8319921,1.8090794086456299,0.04067031335302729,0.017757572645629827
263,2.213371128,1.6452404,1.6681528091430664,0.5681307019364623,0.5452183188569335
268,0.3412812487,0.7993859,1.0088647603988647,0.4581046565658081,0.6675835116988648
273,0.7330523431,1.5072621,1.7867374420166016,0.774209767610144,1.0536850989166016
