# index, date, coordinate, B02, B03, B04, B05, B8A
194,2022-11-10,7.322582246628315-47.12644739675028,(200-200),(200-200),(200-200),(100-100),(100-100)
195,2022-11-10,7.398702997296851-47.16613336674061,(200-200),(200-200),(200-200),(100-100),(100-100)
196,2022-11-10,7.431590806884003-47.182359820351195,(200-200),(200-200),(200-200),(100-100),(100-100)
197,2022-11-10,7.474292644836794-47.19731991382997,(200-200),(200-200),(200-200),(100-100),(100-100)
198,2022-11-10,7.463948622085923-47.14412896431426,(200-200),(200-200),(200-200),(100-100),(100-100)
199,2022-11-10,7.437957265128034-47.09810785067239,(200-200),(200-200),(200-200),(100-100),(100-100)
200,2022-11-10,7.483046512692852-47.11363328247529,(200-200),(200-200),(200-200),(100-100),(100-100)
201,2022-11-10,7.387032938465666-47.08275849761034,(200-200),(200-200),(200-200),(100-100),(100-100)
202,2022-11-10,7.326030174962028-47.04680582859626,(200-200),(200-200),(200-200),(100-100),(100-100)
203,2022-11-10,7.4040080501627585-46.992378811960634,(200-200),(200-200),(200-200),(100-100),(100-100)
204,2022-11-10,7.497368902103744-47.0366839576011,(200-200),(200-200),(200-200),(100-100),(100-100)
205,2022-11-10,7.53290974322482-47.061984768190456,(200-200),(200-200),(200-200),(100-100),(100-100)
206,2022-11-10,7.553597520846893-47.10894005929825,(200-200),(200-200),(200-200),(100-100),(100-100)
207,2022-11-10,7.598951999279421-47.11182826682972,(200-200),(200-200),(200-200),(100-100),(100-100)
208,2022-11-10,7.218595871217616-46.83167232078648,(200-200),(200-200),(200-200),(100-100),(100-100)
209,2022-11-10,7.303811050198391-46.83754243157438,(200-200),(200-200),(200-200),(100-100),(100-100)
211,2022-11-10,7.245225614648348-46.877603985281695,(200-200),(200-200),(200-200),(100-100),(100-100)
213,2022-11-10,7.14077775699414-46.88326677293563,(200-200),(200-200),(200-200),(100-100),(100-100)
214,2022-11-10,7.257948311133873-46.92127329316844,(200-200),(200-200),(200-200),(100-100),(100-100)
215,2022-11-10,7.36683380489103-46.90368854243019,(200-200),(200-200),(200-200),(100-100),(100-100)
216,2022-11-10,7.325113877769468-46.87679489826286,(200-200),(200-200),(200-200),(100-100),(100-100)
217,2022-11-10,7.228951449123912-46.799274100037934,(200-200),(200-200),(200-200),(100-100),(100-100)
218,2022-11-10,7.527313531390888-46.82222164852715,(200-200),(200-200),(200-200),(100-100),(100-100)
219,2022-11-10,7.474020307093809-46.84119801807515,(200-200),(200-200),(200-200),(100-100),(100-100)
220,2022-11-10,7.496459559429667-46.87273939345272,(200-200),(200-200),(200-200),(100-100),(100-100)
222,2022-11-10,7.373978640431204-46.816463447702745,(200-200),(200-200),(200-200),(100-100),(100-100)
223,2022-11-10,7.282040088917768-46.90341038463799,(200-200),(200-200),(200-200),(100-100),(100-100)
224,2022-11-10,7.469032575146144-47.067753649123404,(200-200),(200-200),(200-200),(100-100),(100-100)
225,2022-11-10,6.953248894286901-46.64155011036817,(200-200),(200-200),(200-200),(100-100),(100-100)
226,2022-11-10,6.917464663871044-46.63266306949228,(200-200),(200-200),(200-200),(100-100),(100-100)
227,2022-11-10,6.909470314523958-46.66950862656009,(200-200),(200-200),(200-200),(100-100),(100-100)
228,2022-11-10,6.956675044008307-46.676038906973815,(200-200),(200-200),(200-200),(100-100),(100-100)
229,2022-11-10,6.838663440120683-46.660365070984795,(200-200),(200-200),(200-200),(100-100),(100-100)
230,2022-11-10,7.005782944431246-46.745472182632795,(200-200),(200-200),(200-200),(100-100),(100-100)
231,2022-11-10,7.2710610558920905-46.77807361111928,(200-200),(200-200),(200-200),(100-100),(100-100)
232,2022-11-10,7.236190100817481-46.760803376811026,(200-200),(200-200),(200-200),(100-100),(100-100)
