# index, date, coordinate, B02, B03, B04, B05, B8A
117,2022-01-22,6.620793060913996-46.83009437393528,(200-200),(200-200),(200-200),(100-100),(100-100)
118,2022-01-22,6.6098339374392765-46.806379761330845,(200-200),(200-200),(200-200),(100-100),(100-100)
119,2022-01-22,6.559481207960431-46.792997673386594,(200-200),(200-200),(200-200),(100-100),(100-100)
120,2022-01-22,6.523938104798361-46.770686797042316,(200-200),(200-200),(200-200),(100-100),(100-100)
121,2022-01-22,6.613388199400305-46.76500619945185,(200-200),(200-200),(200-200),(100-100),(100-100)
122,2022-01-22,6.585546101923171-46.75019322474077,(200-200),(200-200),(200-200),(100-100),(100-100)
123,2022-01-22,6.548522036129725-46.74430748816249,(200-200),(200-200),(200-200),(100-100),(100-100)
124,2022-01-22,6.509720815177786-46.7089795724051,(200-200),(200-200),(200-200),(100-100),(100-100)
125,2022-01-22,6.539932421522735-46.69922987929465,(200-200),(200-200),(200-200),(100-100),(100-100)
126,2022-01-22,6.511794131519565-46.68480521407892,(200-200),(200-200),(200-200),(100-100),(100-100)
127,2022-01-22,6.263289907377157-46.46613714512142,(200-200),(200-200),(200-200),(100-100),(100-100)
128,2022-01-22,6.278988111274231-46.445936168072336,(200-200),(200-200),(200-200),(100-100),(100-100)
129,2022-01-22,6.1803561158926925-46.392643143779765,(200-200),(200-200),(200-200),(100-100),(100-100)
130,2022-01-22,6.209975368527267-46.4073498757422,(200-200),(200-200),(200-200),(100-100),(100-100)
131,2022-01-22,6.19398092453585-46.37180187537828,(200-200),(200-200),(200-200),(100-100),(100-100)
132,2022-01-22,6.150440617057171-46.322732150437815,(200-200),(200-200),(200-200),(100-100),(100-100)
133,2022-01-22,6.1231908994181765-46.27750813304223,(200-200),(200-200),(200-200),(100-100),(100-100)
134,2022-01-22,6.324009398298017-46.49285623323149,(200-200),(200-200),(200-200),(100-100),(100-100)
135,2022-01-22,6.436562401088736-46.497138132505,(200-200),(200-200),(200-200),(100-100),(100-100)
137,2022-01-22,6.451964412458636-46.523230584614396,(200-200),(200-200),(200-200),(100-100),(100-100)
138,2022-01-22,6.4344889284768385-46.54788451662009,(200-200),(200-200),(200-200),(100-100),(100-100)
